1646508273 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1646599194 1857916052 {'positive': 1, 'negative': 0, 'total': 2}
1648556820 1857916052 {'positive': 1, 'negative': 0, 'total': 30}
1648659217 1857916052 {'positive': 1, 'negative': 0, 'total': 21}
1648744572 1857916052 {'positive': 0, 'negative': 1, 'total': 24}
1808856364 1857916052 {'positive': 1, 'negative': 0, 'total': 22}
1654686373 1857916052 {'positive': 1, 'negative': 0, 'total': 115}
1654828243 1857916052 {'positive': 1, 'negative': 0, 'total': 118}
1688974433 1857916052 {'positive': 1, 'negative': 0, 'total': 31}
1689010900 1857916052 {'positive': 1, 'negative': 0, 'total': 25}
1642421210 2732055990 {'positive': 0, 'negative': 1, 'total': 3}
1807945020 2732055990 {'positive': 0, 'negative': 1, 'total': 38}
1807985442 2732055990 {'positive': 0, 'negative': 1, 'total': 14}
1808822101 2732055990 {'positive': 0, 'negative': 1, 'total': 36}
1807958231 2732055990 {'positive': 0, 'negative': 1, 'total': 22}
1808035284 2732055990 {'positive': 1, 'negative': 0, 'total': 18}
1819045984 2732055990 {'positive': 1, 'negative': 1, 'total': 89}
1654726847 2732055990 {'positive': 1, 'negative': 0, 'total': 36}
1819924872 2732055990 {'positive': 1, 'negative': 0, 'total': 53}
1654849555 2732055990 {'positive': 1, 'negative': 0, 'total': 133}
1819066795 2732055990 {'positive': 2, 'negative': 0, 'total': 59}
1820052455 2732055990 {'positive': 2, 'negative': 1, 'total': 47}
1819071371 2732055990 {'positive': 2, 'negative': 0, 'total': 70}
1820039743 2732055990 {'positive': 1, 'negative': 0, 'total': 58}
1654716854 2732055990 {'positive': 1, 'negative': 0, 'total': 46}
1819908785 2732055990 {'positive': 2, 'negative': 0, 'total': 19}
1654690512 2732055990 {'positive': 0, 'negative': 1, 'total': 57}
1820009687 2732055990 {'positive': 2, 'negative': 1, 'total': 65}
1654728350 2732055990 {'positive': 2, 'negative': 0, 'total': 91}
1820804053 2732055990 {'positive': 1, 'negative': 0, 'total': 2}
1819892345 2732055990 {'positive': 1, 'negative': 0, 'total': 68}
1819097377 2732055990 {'positive': 1, 'negative': 0, 'total': 25}
1819894083 2732055990 {'positive': 1, 'negative': 0, 'total': 46}
1654761091 2732055990 {'positive': 1, 'negative': 0, 'total': 22}
1654818740 2732055990 {'positive': 1, 'negative': 0, 'total': 51}
1654828243 2732055990 {'positive': 1, 'negative': 0, 'total': 118}
1654851591 2732055990 {'positive': 1, 'negative': 0, 'total': 63}
1819052297 2732055990 {'positive': 1, 'negative': 0, 'total': 72}
1654725834 2732055990 {'positive': 0, 'negative': 1, 'total': 40}
1654874243 2732055990 {'positive': 0, 'negative': 1, 'total': 7}
1819953807 2732055990 {'positive': 1, 'negative': 0, 'total': 80}
1654805881 2732055990 {'positive': 1, 'negative': 0, 'total': 47}
1819974305 2732055990 {'positive': 1, 'negative': 0, 'total': 44}
1688967014 2732055990 {'positive': 0, 'negative': 1, 'total': 3}
1692755915 2732055990 {'positive': 1, 'negative': 0, 'total': 13}
1690813612 2732055990 {'positive': 1, 'negative': 0, 'total': 10}
1692744051 2732055990 {'positive': 1, 'negative': 0, 'total': 8}
1690698034 2732055990 {'positive': 1, 'negative': 0, 'total': 45}
1692765593 2732055990 {'positive': 1, 'negative': 0, 'total': 5}
1690735973 2732055990 {'positive': 1, 'negative': 0, 'total': 14}
1642491404 1220291284 {'positive': 1, 'negative': 0, 'total': 1}
1642514944 1220291284 {'positive': 1, 'negative': 0, 'total': 2}
1648533274 1220291284 {'positive': 2, 'negative': 0, 'total': 28}
1648629364 1220291284 {'positive': 2, 'negative': 0, 'total': 9}
1807929470 1220291284 {'positive': 1, 'negative': 0, 'total': 10}
1808863147 1220291284 {'positive': 0, 'negative': 1, 'total': 2}
1807914990 1220291284 {'positive': 1, 'negative': 0, 'total': 13}
1648658142 1220291284 {'positive': 0, 'negative': 1, 'total': 27}
1648728081 1220291284 {'positive': 3, 'negative': 1, 'total': 13}
1648741063 1220291284 {'positive': 1, 'negative': 1, 'total': 30}
1648701560 1220291284 {'positive': 1, 'negative': 0, 'total': 26}
1808805444 1220291284 {'positive': 1, 'negative': 0, 'total': 17}
1807914930 1220291284 {'positive': 1, 'negative': 0, 'total': 5}
1807948524 1220291284 {'positive': 1, 'negative': 0, 'total': 10}
1648467065 1220291284 {'positive': 1, 'negative': 0, 'total': 23}
1648492863 1220291284 {'positive': 1, 'negative': 0, 'total': 19}
1648527411 1220291284 {'positive': 0, 'negative': 1, 'total': 17}
1807986404 1220291284 {'positive': 1, 'negative': 0, 'total': 69}
1807992530 1220291284 {'positive': 0, 'negative': 1, 'total': 37}
1807998083 1220291284 {'positive': 1, 'negative': 0, 'total': 38}
1807999264 1220291284 {'positive': 1, 'negative': 0, 'total': 5}
1648540100 1220291284 {'positive': 1, 'negative': 0, 'total': 16}
1648561402 1220291284 {'positive': 1, 'negative': 0, 'total': 6}
1648586213 1220291284 {'positive': 0, 'negative': 1, 'total': 21}
1648598667 1220291284 {'positive': 1, 'negative': 0, 'total': 33}
1648582927 1220291284 {'positive': 1, 'negative': 0, 'total': 42}
1648600044 1220291284 {'positive': 1, 'negative': 0, 'total': 9}
1808032831 1220291284 {'positive': 1, 'negative': 1, 'total': 36}
1648595337 1220291284 {'positive': 1, 'negative': 0, 'total': 31}
